U+3400	jau1
U+3403	zim1
U+3404	kwaa1
U+3405	ng5
U+3407	gau2
U+3408	jap6
U+3409	ding1
U+340A	si6
U+340B	tou2
U+340C	ji4
U+340D	zaau2
U+340E	man4
U+340F	ng5
U+3410	nou4
U+3411	dung1
U+3412	ziu6
U+3413	ho2
U+3414	hang1
U+3415	jau4
U+3417	lou5
U+3418	mai5
U+3419	dau6
U+341A	ng4
U+341B	jau6
U+341D	keoi1
U+341E	kei4
U+341F	fei1
U+3420	jyu5
U+3421	no6
U+3422	fau4
U+3423	fu3
U+3425	co4
U+3426	geoi2
U+3428	zeoi6
U+342A	si2
U+342B	hung1
U+342C	lau4
U+342D	lam5
U+342E	soeng1
U+342F	jung4
U+3430	seon3
U+3431	can2
U+3432	daai6
U+3433	ngat6
U+3434	paan1
U+3435	jyu4
U+3436	ci5
U+3437	maa6
U+3438	him3
U+3439	hei3
U+343B	noi6
U+343C	cing2
U+343D	fung1
U+343E	wun6
U+343F	sau2
U+3440	taai3
U+3442	fong2
U+3444	mou5
U+3445	zok3
U+3446	hing1
U+3447	zau3
U+3448	dung1
U+344C	hong1
U+344E	nou5
U+344F	cyu5
U+3450	suk1
U+3451	zat6
U+3452	cim1
U+3453	zeon3
U+3454	seoi2
U+3455	seoi3
U+3456	zung6
U+3458	gaai3
U+345D	lung6
U+3460	gin1
U+3461	zik1
U+3462	koek3
U+3467	gwai3
U+3469	lo4
U+346A	caai4
U+346B	nim6
U+346C	gu1
U+346D	bei2
U+346F	seoi2
U+3472	naam4
U+3473	zau3
U+3474	cam1
U+3475	zat6
U+3476	hei3
U+3477	taai3
U+3479	wui6
U+347A	zeon3
U+347C	loek6
U+347D	tong4
U+3485	kai2
U+3486	kap1
U+3487	mou5
U+348B	si1
U+348C	king4
U+348F	hon4
U+3490	seon2
U+3492	buk6
U+3493	taat3
U+3494	suk6
U+3497	toi4
U+3498	syu6
U+3499	min4
U+349A	wan2
U+349D	mit6
U+349E	wai6
U+349F	niu5
U+34A0	haai6
U+34A2	joek6
U+34A3	jing3
U+34A5	fung1
U+34A6	leoi5
U+34A7	lai6
U+34A8	sin1
U+34A9	lo2
U+34AA	sek3
U+34AB	gei3
U+34AC	wong1
U+34AE	fui1
U+34AF	jip6
U+34B0	cyun4
U+34B1	zik6
U+34B2	coi4
U+34B3	loeng5
U+34B4	gwat1
U+34B6	gung1
U+34B7	hing1
U+34B8	seoi6
U+34B9	din1
U+34BA	mong5
U+34BB	mou6
U+34BC	mun4
U+34BD	hyun1
U+34BF	lei4
U+34C0	buk1
U+34C1	mong5
U+34C3	dou3
U+34C5	ting1
U+34C6	leon4
U+34C7	juk1
U+34C9	wut6
U+34CA	dung6
U+34CB	gung6
U+34CC	cang1
U+34CD	cung1
U+34CF	gwing2
U+34D0	luk6
U+34D2	cat1
U+34D4	ze6
U+34D5	mit6
U+34D7	git3
U+34D8	suk1
U+34D9	hung1
U+34DA	gung1
U+34DB	gung1
U+34DE	kit3
U+34DF	pai1
U+34E0	dim3
U+34E1	fu2
U+34E4	gat1
U+34E5	tong1
U+34E6	baak3
U+34E8	ci3
U+34E9	hyun1
U+34EA	long5
U+34EB	fu1
U+34EC	fu1
U+34ED	hot3
U+34EE	diu1
U+34EF	lei4
U+34F0	waak6
U+34F3	dai1
U+34F5	ngok6
U+34F6	kit3
U+34F7	ji6
U+34F8	zoek3
U+34FA	kin4
U+34FB	gong1
U+34FC	cat1
U+34FD	sung4
U+34FE	sai1
U+34FF	syu2
U+3500	king4
U+3502	leon4
U+3503	zyut6
U+3504	suk1
U+3505	siu3
U+3506	caam5
U+3507	put3
U+3508	fei6
U+3509	zuk1
U+350C	zau6
U+350E	sit3
U+350F	lik6
U+3510	cim1
U+3511	cat1
U+3512	kwai4
U+3513	gin2
U+3514	gaa1
U+3516	gaa1
U+351B	kit3
U+351C	but6
U+351D	loeng5
U+351F	sai3
U+3520	hat6
U+3521	bit3
U+3522	dyut3
U+3527	leoi6
U+3528	bui3
U+3529	aap6
U+352A	lou5
U+352B	lung4
U+352C	coek3
U+352D	ci4
U+352E	no4
U+3530	hang4
U+3531	jyu4
U+3532	gwai2
U+3535	syun2
U+3536	gung3
U+3537	lau6
U+3539	lak6
U+353B	pei1
U+353C	seon2
U+353E	cim1
U+353F	zau3
U+3540	wai3
U+3541	koek3
U+3545	gaap3
U+3546	wu6
U+3549	hap6
U+354A	bou1
U+354B	kam4
U+354C	ngoi6
U+354D	deoi1
U+354E	hap6
U+354F	cyu4
U+3550	se2
U+3551	cyu4
U+3553	cin4
U+3554	teng1
U+3556	sou3
U+3558	caam1
U+3559	zeon3
U+355A	zaau2
U+355C	si2
U+355D	si6
U+355E	caat3
U+355F	wai2
U+3560	soeng1
U+3561	kok3
U+3562	haai6
U+3563	jin5
U+3565	ji5
U+3566	waa6
U+3567	si1
U+3568	faan6
U+356A	dam2
U+356C	zung1
U+356D	aau3
U+356E	fu2
U+356F	neot6
U+3572	muk1
U+3573	hung1
U+3575	gwok3
U+3576	ng2
U+3578	lap1
U+3579	fat6
U+357A	hiu1
U+357C	hung1
U+357D	ci5
U+357E	siu2
U+357F	wo4
U+3580	leot6
U+3581	leon6
U+3585	seot1
U+3586	kuk1
U+3587	ji4
U+3588	lou5
U+3589	kei5
U+358A	cam4
U+358B	gaai3
U+358C	sau4
